sseqid	Category
-VFG038504-gb|WP_011705643-	Adherence
-VFG038505-gb|WP_011705643-	Adherence
-VFG038506	Adherence
-VFG038507-gb|WP_085942042-	Adherence
-VFG038508-gb|WP_011705362-	Adherence
-VFG038509-gb|WP_016350158-	Adherence
-VFG038510-gb|WP_005312912-	Adherence
-VFG038511-gb|WP_013723949-	Adherence
-VFG038512-gb|WP_011705361-	Adherence
-VFG038513-gb|WP_016350157-	Adherence
-VFG038514-gb|WP_085941632-	Adherence
-VFG038515-gb|WP_013723950-	Adherence
-VFG038516-gb|WP_011705360-	Adherence
-VFG038517-gb|WP_016350156-	Adherence
-VFG038518-gb|WP_005312887-	Adherence
-VFG038519-gb|WP_005359316-	Adherence
-VFG038520-gb|WP_011705359-	Adherence
-VFG038521-gb|WP_016350155-	Adherence
-VFG038522	Adherence
-VFG038523-gb|WP_013723951-	Adherence
-VFG038524-gb|WP_011705358-	Adherence
-VFG038525-gb|WP_043118801-	Adherence
-VFG038526-gb|WP_005312882-	Adherence
-VFG038527-gb|WP_005359308-	Adherence
-VFG038528-gb|WP_011705357-	Adherence
-VFG038529-gb|WP_016350153-	Adherence
-VFG038530	Adherence
-VFG038531-gb|WP_005359307-	Adherence
-VFG038532-gb|WP_011705356-	Adherence
-VFG038533-gb|WP_016350152-	Adherence
-VFG038534-gb|WP_005312873-	Adherence
-VFG038535-gb|WP_013723952-	Adherence
-VFG038536-gb|WP_011705355-	Adherence
-VFG038537-gb|WP_016350151-	Adherence
-VFG038538-gb|WP_005312870-	Adherence
-VFG038539-gb|WP_013723953-	Adherence
-VFG038540-gb|WP_011705354-	Adherence
-VFG038541-gb|WP_016350150-	Adherence
-VFG038542-gb|WP_005312867-	Adherence
-VFG038543-gb|WP_005350409-	Adherence
-VFG038544-gb|WP_011705353-	Adherence
-VFG038545-gb|WP_043118798-	Adherence
-VFG038546-gb|WP_011898936-	Adherence
-VFG038547-gb|WP_005350408-	Adherence
-VFG038548-gb|WP_011705352-	Adherence
-VFG038549-gb|WP_016350148-	Adherence
-VFG038550	Adherence
-VFG038551-gb|WP_005350407-	Adherence
-VFG038552-gb|WP_172583077-	Adherence
-VFG038553-gb|WP_016350147-	Adherence
-VFG038554-gb|WP_005312858-	Adherence
-VFG038555-gb|WP_005350405-	Adherence
-VFG038556-gb|WP_011705350-	Adherence
-VFG038557-gb|WP_011705350-	Adherence
-VFG038558-gb|WP_005312855-	Adherence
-VFG038559-gb|WP_005350403-	Adherence
-VFG038560-gb|WP_011704375-	Adherence
-VFG038561-gb|WP_016349168-	Adherence
-VFG038562-gb|WP_011899171-	Adherence
-VFG038563-gb|WP_005348626-	Adherence
-VFG038564-gb|WP_016349167-	Adherence
-VFG038565-gb|WP_005316363-	Adherence
-VFG038566-gb|WP_005348623-	Adherence
-VFG038567-gb|WP_011704374-	Adherence
-VFG038568-gb|WP_016349166-	Adherence
-VFG038569-gb|WP_170321041-	Adherence
-VFG038570-gb|WP_193352791-	Adherence
-VFG038571-gb|WP_011704373-	Adherence
-VFG038572-gb|WP_016349165-	Adherence
-VFG038573-gb|WP_005316367-	Adherence
-VFG038574-gb|WP_005348620-	Adherence
-VFG038575-gb|WP_011704372-	Adherence
-VFG038576-gb|WP_016349164-	Adherence
-VFG038577-gb|WP_005348619-	Adherence
-VFG038578-gb|WP_016349163-	Adherence
-VFG038579-gb|WP_005348618-	Adherence
-VFG038580-gb|WP_011704371-	Adherence
-VFG038581-gb|WP_043118279-	Adherence
-VFG038582-gb|WP_005348617-	Adherence
-VFG038583-gb|WP_011704370-	Adherence
-VFG038584-gb|WP_016349161-	Adherence
-VFG038585-gb|WP_005348615-	Adherence
-VFG038586-gb|WP_011704369-	Adherence
-VFG038587-gb|WP_016349160-	Adherence
-VFG038588-gb|WP_005348613-	Adherence
-VFG038589-gb|WP_011704368-	Adherence
-VFG038590-gb|WP_043118275-	Adherence
-VFG038591-gb|WP_005348611-	Adherence
-VFG038592-gb|WP_043125776-	Adherence
-VFG038593-gb|WP_016349158-	Adherence
-VFG038594-gb|WP_005348610-	Adherence
-VFG038595-gb|WP_011704366-	Adherence
-VFG038596-gb|WP_016349157-	Adherence
-VFG038597-gb|WP_011899174-	Adherence
-VFG038598-gb|WP_005348609-	Adherence
-VFG038599-gb|WP_011704365-	Adherence
-VFG038600-gb|WP_016349156-	Adherence
-VFG038601-gb|WP_005316372-	Adherence
-VFG038602-gb|WP_005348608-	Adherence
-VFG038603-gb|WP_016349155-	Adherence
-VFG038604-gb|WP_011899175-	Adherence
-VFG038605-gb|WP_005348607-	Adherence
-VFG038606-gb|WP_011704364-	Adherence
-VFG038607-gb|WP_016349154-	Adherence
-VFG038608-gb|WP_005316380-	Adherence
-VFG038609-gb|WP_005348606-	Adherence
-VFG038610-gb|WP_011704363-	Adherence
-VFG038611-gb|WP_016349153-	Adherence
-VFG038612-gb|WP_005316382-	Adherence
-VFG038613-gb|WP_005348605-	Adherence
-VFG038614-gb|WP_011704361-	Adherence
-VFG038615-gb|WP_016349152-	Adherence
-VFG038616-gb|WP_005316385-	Adherence
-VFG038617-gb|WP_005348604-	Adherence
-VFG042801-gb|WP_005320435-	Adherence
-VFG042802-gb|AAN75204-	Adherence
-VFG042803-gb|AAN75205-	Adherence
-VFG042804-gb|AAN75206-	Adherence
-VFG042805-gb|AAN75207-	Adherence
-VFG042806-gb|AAN75208-	Adherence
-VFG042807-gb|AAN75209-	Adherence
-VFG042808-gb|AAN75210-	Adherence
-VFG042809-gb|AAN75211-	Adherence
-VFG042810-gb|AAN75212-	Adherence
-VFG042811-gb|AAN75213-	Adherence
-VFG042812-gb|AAN75214-	Adherence
-VFG042813-gb|AAN75215-	Adherence
-VFG042814-gb|AAN75216-	Adherence
-VFG042815-gb|AAN75217-	Adherence
-VFG043521-gb|AAO43108-	Adherence
-VFG042980-gb|WP_000719303-	Adherence
-VFG042981-gb|WP_000828081-	Adherence
-VFG042982-gb|WP_001239465-	Adherence
-VFG049919-gb|AAD32394-	Adherence
-VFG050046-gb|WP_000746295-	Adherence
-VFG050047-gb|WP_012680378-	Adherence
-VFG002270-gb|WP_011180104-	Adherence
-VFG002271-gb|WP_011178961-	Adherence
-VFG002272-gb|WP_011178962-	Adherence
-VFG002273-gb|WP_011178963-	Adherence
-VFG016666-gb|WP_005766221-	Adherence
-VFG016667-gb|WP_011180102-	Adherence
-VFG016672-gb|WP_005766494-	Adherence
-VFG016673-gb|WP_011181078-	Adherence
-VFG016674-gb|WP_011179682-	Adherence
-VFG016675-gb|WP_005766757-	Adherence
-VFG016676-gb|WP_011180552-	Adherence
-VFG016677-gb|WP_011179439-	Adherence
-VFG018685-gb|WP_012230508-	Adherence
-VFG018686-gb|WP_012232240-	Adherence
-VFG018687-gb|WP_012231505-	Adherence
-VFG042373-gb|AAU14840-	Adherence
-VFG042374-gb|AAU14841-	Adherence
-VFG042375-gb|AAU14842-	Adherence
-VFG042376-gb|AAU14843-	Adherence
-VFG042377-gb|AAU44779-	Adherence
-VFG000001-gb|WP_010930610-	Adherence
-VFG000002-gb|WP_010930159-	Adherence
-VFG000003-gb|WP_019248935-	Adherence
-VFG000004-gb|WP_010930436-	Adherence
-VFG000005-gb|WP_010931071-	Adherence
-VFG000006	Adherence
-VFG000007-gb|WP_010930611-	Adherence
-VFG000008-gb|WP_010930612-	Adherence
-VFG000009-gb|WP_050849356-	Adherence
-VFG000010-gb|WP_010930243-	Adherence
-VFG001272-gb|WP_010930614-	Adherence
-VFG010927-gb|WP_010928856-	Adherence
-VFG010928-gb|WP_041936401-	Adherence
-VFG010929-gb|WP_012417632-	Adherence
-VFG010930-gb|WP_023853656-	Adherence
-VFG010931-gb|WP_010928569-	Adherence
-VFG010932-gb|WP_010926335-	Adherence
-VFG010933-gb|WP_041937525-	Adherence
-VFG010934-gb|WP_010931066-	Adherence
-VFG010935-gb|WP_010927922-	Adherence
-VFG010936-gb|WP_010926458-	Adherence
-VFG010937-gb|WP_012417226-	Adherence
-VFG010938-gb|WP_041937471-	Adherence
-VFG010939-gb|WP_148265616-	Adherence
-VFG010940-gb|WP_041937492-	Adherence
-VFG010941-gb|WP_127812162-	Adherence
-VFG010942	Adherence
-VFG010943	Adherence
-VFG010945-gb|WP_041937262-	Adherence
-VFG010946-gb|WP_033446804-	Adherence
-VFG010948-gb|WP_010928451-	Adherence
-VFG010949-gb|WP_003809958-	Adherence
-VFG010951	Adherence
-VFG010952-gb|WP_003811078-	Adherence
-VFG010953-gb|WP_114852035-	Adherence
-VFG010955-gb|WP_138142578-	Adherence
-VFG010957-gb|WP_012417630-	Adherence
-VFG010959-gb|WP_010928855-	Adherence
-VFG010960-gb|WP_010926706-	Adherence
-VFG010961-gb|WP_082011656-	Adherence
-VFG010963-gb|WP_169507372-	Adherence
-VFG010964-gb|WP_172607924-	Adherence
-VFG010965-gb|WP_039051468-	Adherence
-VFG010967	Adherence
-VFG010968-gb|WP_010926814-	Adherence
-VFG010969-gb|WP_010928149-	Adherence
-VFG010970-gb|WP_010926813-	Adherence
-VFG010971-gb|WP_039051763-	Adherence
-VFG010972-gb|WP_039051785-	Adherence
-VFG010973-gb|WP_119649667-	Adherence
-VFG010974-gb|WP_012417445-	Adherence
-VFG010975-gb|WP_012417446-	Adherence
-VFG010976-gb|WP_162835488-	Adherence
-VFG010977-gb|WP_012416016-	Adherence
-VFG010978-gb|WP_086935757-	Adherence
-VFG010979-gb|WP_119649594-	Adherence
-VFG010980-gb|WP_012418303-	Adherence
-VFG010981-gb|WP_049794178-	Adherence
-VFG010983-gb|WP_010927881-	Adherence
-VFG010984-gb|WP_010926141-	Adherence
-VFG010986	Adherence
-VFG046121-gb|CAC14167-	Adherence
-VFG043470-gb|WP_012599429-	Adherence
-VFG043471-gb|WP_012614929-	Adherence
-VFG043534-gb|WP_004681934-	Adherence
-VFG043535-gb|WP_004686048-	Adherence
-VFG043536-gb|WP_002965982-	Adherence
-VFG051113-gb|WP_080515433.1-	Adherence
-VFG051114	Adherence
-VFG051115-gb|WP_002967016.1-	Adherence
-VFG051117-gb|WP_006132974.1-	Adherence
-VFG051118-gb|WP_004686233.1-	Adherence
-VFG051120-gb|WP_004684498.1-	Adherence
-VFG051121-gb|WP_002965074.1-	Adherence
-VFG051122-gb|WP_006071716.1-	Adherence
-VFG051123-gb|WP_032449063.1-	Adherence
-VFG051124-gb|WP_004686232.1-	Adherence
-VFG051125-gb|WP_004684499.1-	Adherence
-VFG051126-gb|WP_006190985.1-	Adherence
-VFG051127-gb|WP_002967134.1-	Adherence
-VFG051130-gb|WP_006014744.1-	Adherence
-VFG051131-gb|WP_006191504.1-	Adherence
-VFG051132-gb|WP_012460624.1-	Adherence
-VFG051134-gb|WP_002969669.1-	Adherence
-VFG051135-gb|WP_011950069.1-	Adherence
-VFG051136	Adherence
-VFG051137-gb|WP_002972334.1-	Adherence
-VFG051139-gb|WP_006132921.1-	Adherence
-VFG051140-gb|WP_004686273.1-	Adherence
-VFG051142-gb|WP_006278782.1-	Adherence
-VFG051143-gb|WP_006196694.1-	Adherence
-VFG002427-gb|WP_004549962-	Adherence
-VFG002429-gb|WP_004548643-	Adherence
-VFG002430-gb|WP_004530613-	Adherence
-VFG002433-gb|WP_004187526-	Adherence
-VFG002434-gb|WP_011205650-	Adherence
-VFG002435-gb|WP_004556283-	Adherence
-VFG002436-gb|WP_080341181-	Adherence
-VFG002437-gb|WP_011325557-	Adherence
-VFG024825-gb|WP_011546121-	Adherence
-VFG024827-gb|WP_006486698-	Adherence
-VFG024828-gb|WP_012329165-	Adherence
-VFG002425-gb|WP_004526211-	Adherence
-VFG024833-gb|WP_004526211-	Adherence
-VFG024835-gb|WP_004526211-	Adherence
-VFG024837-gb|WP_043037212-	Adherence
-VFG024838-gb|WP_041489152-	Adherence
-VFG024840-gb|WP_020979379-	Adherence
-VFG024841-gb|WP_012327862-	Adherence
-VFG002426-gb|WP_004194352-	Adherence
-VFG024843-gb|WP_004202977-	Adherence
-VFG024846-gb|WP_004535272-	Adherence
-VFG024847-gb|WP_004527776-	Adherence
-VFG024848-gb|WP_011852231-	Adherence
-VFG024850-gb|WP_025987421-	Adherence
-VFG024851-gb|WP_011544513-	Adherence
-VFG024853-gb|WP_006496766-	Adherence
-VFG024854-gb|WP_012327861-	Adherence
-VFG024855-gb|WP_004194032-	Adherence
-VFG024859-gb|WP_004527777-	Adherence
-VFG024860-gb|WP_004527777-	Adherence
-VFG024861-gb|WP_011852232-	Adherence
-VFG024863-gb|WP_011401967-	Adherence
-VFG024864-gb|WP_011544512-	Adherence
-VFG024866-gb|WP_006487139-	Adherence
-VFG024867-gb|WP_012327860-	Adherence
-VFG002428-gb|WP_004194127-	Adherence
-VFG024872-gb|WP_004527778-	Adherence
-VFG024876-gb|WP_009888805-	Adherence
-VFG024877-gb|WP_012339984-	Adherence
-VFG024878-gb|WP_004199082-	Adherence
-VFG024879-gb|WP_004188439-	Adherence
-VFG024881-gb|WP_004537125-	Adherence
-VFG024882-gb|WP_004528880-	Adherence
-VFG024883-gb|WP_004537125-	Adherence
-VFG024885-gb|WP_009896036-	Adherence
-VFG024886	Adherence
-VFG024887-gb|WP_004203188-	Adherence
-VFG024890-gb|WP_004530613-	Adherence
-VFG024891-gb|WP_004530613-	Adherence
-VFG024892-gb|WP_004525265-	Adherence
-VFG024894-gb|WP_011401021-	Adherence
-VFG024895-gb|WP_012339980-	Adherence
-VFG002431-gb|WP_004187516-	Adherence
-VFG024899-gb|WP_004187516-	Adherence
-VFG024903-gb|WP_009896030-	Adherence
-VFG024904-gb|WP_012339979-	Adherence
-VFG024905-gb|WP_004187011-	Adherence
-VFG002432-gb|WP_004537540-	Adherence
-VFG024909-gb|WP_004528882-	Adherence
-VFG024910-gb|WP_011853505-	Adherence
-VFG024912-gb|WP_009896028-	Adherence
-VFG024913-gb|WP_012339977-	Adherence
